0	0	0
1	5	2
2	4	2
3	4	2
4	2	1
5	6	3
6	6	2
7	4	2
8	4	2
9	1	3
10	3	3
11	0	2
12	2	2
13	3	2
14	3	2
15	2	2
16	4	3
17	5	4
18	4	4
19	2	4
20	1	4
21	0	2
22	4	4
23	5	4
24	4	4
25	5	4
26	4	4
27	5	3
28	5	4
29	6	4
30	4	5
31	4	3
32	7	5
33	6	4
34	5	5
35	-2	3
36	0	5
37	-8	5
38	-8	5
39	5	5
40	4	5
41	4	6
42	-2	5
43	3	6
44	4	6
45	5	7
46	4	6
47	4	6
48	3	6
49	2	6
50	-2	4
51	2	5
52	1	5
53	0	4
54	4	5
55	4	5
56	4	6
57	3	5
58	2	6
59	-15	6
60	-11	5
61	-12	5
62	-10	6
63	-10	5
64	-11	5
65	-10	5
66	-11	6
67	-12	5
68	-16	4
69	-12	5
70	-13	4
71	-17	3
72	-13	4
73	-13	4
74	-12	4
75	-14	4
76	-13	2
77	-12	4
78	-12	3
79	-13	3
80	-14	3
81	-11	3
82	-12	3
83	-14	3
84	-14	3
85	-15	3
86	-15	4
87	-13	4
88	-15	5
89	-13	5
90	-13	5
91	-14	4
92	-10	5
93	-9	6
94	-8	7
95	-10	6
96	-12	7
97	-10	6
98	-9	6
99	-13	6
100	-9	9
101	-7	8
102	-10	8
103	-7	8
104	-9	6
105	-9	6
106	-8	6
107	-7	6
108	-8	6
109	-8	6
110	-7	5
111	-4	4
112	-4	5
113	-4	4
114	-10	4
115	-18	5
116	-7	2
117	-6	4
118	-4	4
119	-5	3
120	-2	4
121	-6	4
122	-8	4
123	-2	4
124	0	4
125	4	4
126	3	5
127	3	4
128	0	3
129	13	4
130	14	4
131	13	3
132	11	4
133	9	3
134	8	3
135	0	4
136	13	3
137	11	2
138	11	3
139	11	2
140	8	3
141	15	3
142	16	2
143	14	3
144	15	3
145	16	2
146	20	3
147	21	3
148	21	3
149	21	4
150	17	5
151	20	3
152	19	2
153	15	4
154	13	2
155	17	3
156	13	3
157	15	3
158	7	2
159	14	2
160	12	2
161	10	2
162	11	2
163	9	1
164	6	1
165	5	0
166	10	1
